training_state,yellow_state,lane_ids,#of_cars,ratio,max_ratio,new_max_ratio,tl_durations,tl_id,action,reward
0,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.022156573116691284, 0.022156573116691284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020567667626491155, 0.020567667626491155, 0.0, 0.0]",0.022156573116691284,0.022156573116691284,"[45.0, 3.0, 38.0]",JM1,"('decrease_green', 'JM1')",1
1,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.022156573116691284, 0.022156573116691284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020567667626491155, 0.020567667626491155, 0.0, 0.0]",0.022156573116691284,0.04431314623338257,"[44.0, 3.0, 38.0]",JM1,"('increase_red', 'JM1')",-2
2,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04431314623338257, 0.04431314623338257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04113533525298231, 0.04113533525298231, 0.0, 0.0]",0.04431314623338257,0.04431314623338257,"[44.0, 3.0, 39.0]",JM1,"('increase_green', 'JM1')",1
3,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04431314623338257, 0.04431314623338257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06170300287947346, 0.06170300287947346, 0.0, 0.0]",0.06170300287947346,0.06170300287947346,"[45.0, 3.0, 39.0]",JM1,"('increase_green', 'JM1')",1
4,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04431314623338257, 0.04431314623338257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06170300287947346, 0.06170300287947346, 0.0, 0.0]",0.06170300287947346,0.08227067050596462,"[46.0, 3.0, 39.0]",JM1,"('increase_green', 'JM1')",-2
5,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04431314623338257, 0.04431314623338257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08227067050596462, 0.08227067050596462, 0.0, 0.0]",0.08227067050596462,0.08227067050596462,"[47.0, 3.0, 39.0]",JM1,"('no_change', 'JM1')",1
6,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04431314623338257, 0.04431314623338257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10283833813245577, 0.10283833813245577, 0.0, 0.0]",0.10283833813245577,0.10283833813245577,"[47.0, 3.0, 39.0]",JM1,"('increase_green', 'JM1')",1
7,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04431314623338257, 0.04431314623338257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10283833813245577, 0.10283833813245577, 0.0, 0.0]",0.10283833813245577,0.12340600575894692,"[48.0, 3.0, 39.0]",JM1,"('decrease_red', 'JM1')",-2
8,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.06646971935007386, 0.06646971935007386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12340600575894692, 0.12340600575894692, 0.0, 0.0]",0.12340600575894692,0.12340600575894692,"[48.0, 3.0, 38.0]",JM1,"('decrease_green', 'JM1')",1
9,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.06646971935007386, 0.06646971935007386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12340600575894692, 0.12340600575894692, 0.0, 0.0]",0.12340600575894692,0.14397367338543807,"[47.0, 3.0, 38.0]",JM1,"('decrease_green', 'JM1')",-2
