training_state,yellow_state,lane_ids,#of_cars,ratio,max_ratio,new_max_ratio,tl_durations,tl_id,action,reward
0,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[45.0, 3.0, 30.0]",J3,"('decrease_green', 'J3')",1
0,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.030747155888080354, 0.030747155888080354, 0.030747155888080354, 0.030747155888080354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029127627554735663, 0.029127627554735663, 0.0]",0.030747155888080354,0.030747155888080354,"[45.0, 3.0, 30.0]",JM0,"('no_change', 'JM0')",1
0,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.027923860939172523, 0.027923860939172523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029874526986656044, 0.029874526986656044, 0.0, 0.0]",0.029874526986656044,0.05974905397331209,"[45.0, 3.0, 38.0]",JM1,"('increase_green', 'JM1')",-2
0,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[45.0, 3.0, 30.0]",JM2,"('increase_green', 'JM2')",1
1,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[45.0, 3.0, 30.0]",J3,"('decrease_green', 'J3')",1
1,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 3, 3, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.09224146766424106, 0.09224146766424106, 0.09224146766424106, 0.09224146766424106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08738288266420699, 0.08738288266420699, 0.0]",0.09224146766424106,0.09224146766424106,"[45.0, 3.0, 30.0]",JM0,"('increase_red', 'JM0')",1
1,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.08377158281751756, 0.08377158281751756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08962358095996813, 0.08962358095996813, 0.0, 0.0]",0.08962358095996813,0.08962358095996813,"[45.0, 3.0, 38.0]",JM1,"('increase_red', 'JM1')",1
1,yyyyyyyyy,"('ER1_0', 'ER1_1', 'ER1_2', 'ER1_3', 'ER1_4', 'E4_0', 'E4_0', 'E4_1', 'E4_1')","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[45.0, 3.0, 30.0]",JM2,"('decrease_green', 'JM2')",1
2,yyyy,"('E5_0', 'E5_1', 'E5_2', 'E5_3')","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[45.0, 3.0, 30.0]",J3,"('increase_green', 'J3')",1
2,yyyyyyyyyyyyyyyyy,"('-E3_0', '-E3_0', '-E3_1', '-E3_2', '-E3_2', 'EB0_0', 'EB0_0', 'EB0_0', 'EB0_0', 'E2_0', 'E2_0', 'E2_1', 'E2_2', 'E2_2', '-EB1_0', '-EB1_0', '-EB1_1')","[0, 0, 0, 0, 0, 5, 5, 5, 5, 0, 0, 0, 0, 0, 5, 5, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12298862355232142, 0.12298862355232142, 0.12298862355232142, 0.12298862355232142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11651051021894265, 0.11651051021894265, 0.0]",0.12298862355232142,0.15373577944040176,"[45.0, 3.0, 30.0]",JM0,"('increase_red', 'JM0')",-2
2,yyyyyyyyyyyyyyyyy,"('-E4_0', '-E4_0', '-E4_1', '-E4_1', '-E4_1', 'ES0_0', 'ES0_0', 'ES0_1', 'ES0_1', 'E3_0', 'E3_0', 'E3_1', 'E3_2', '-ES1_0', '-ES1_0', '-ES1_1', '-ES1_2')","[0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.13961930469586262, 0.13961930469586262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1493726349332802, 0.1493726349332802, 0.0, 0.0]",0.1493726349332802,0.1493726349332802,"[45.0, 3.0, 38.0]",JM1,"('no_change', 'JM1')",1
