training_state,tls_id,action,tl_durations,reward,max_previous_local,max_new_local,neighbors,max_previous_neighbors,max_new_neighbors
0,J3,"('decrease_red', 'J3')","[45.0, 3.0, 30.0]",2,0.0,0.0,['JM2'],[0.0],[0.0]
0,JM0,"('increase_green', 'JM0')","[45.0, 3.0, 30.0]",2,0.030747155888080354,0.030747155888080354,['JM1'],[0.029874526986656044],[0.029874526986656044]
0,JM1,"('increase_red', 'JM1')","[45.0, 3.0, 38.0]",-3,0.029874526986656044,0.05974905397331209,"['JM0', 'JM2']","[0.030747155888080354, 0.0]","[0.06149431177616071, 0.0]"
0,JM2,"('decrease_red', 'JM2')","[45.0, 3.0, 30.0]",3,0.0,0.0,"['JM1', 'J3']","[0.05974905397331209, 0.0]","[0.05974905397331209, 0.0]"
1,J3,"('decrease_green', 'J3')","[45.0, 3.0, 29.0]",2,0.0,0.0,['JM2'],[0.0],[0.0]
1,JM0,"('increase_green', 'JM0')","[46.0, 3.0, 30.0]",2,0.09224146766424106,0.09224146766424106,['JM1'],[0.08962358095996813],[0.08962358095996813]
1,JM1,"('no_change', 'JM1')","[45.0, 3.0, 39.0]",3,0.08962358095996813,0.08962358095996813,"['JM0', 'JM2']","[0.09224146766424106, 0.0]","[0.09224146766424106, 0.0]"
1,JM2,"('decrease_red', 'JM2')","[45.0, 3.0, 29.0]",0,0.0,0.0,"['JM1', 'J3']","[0.08962358095996813, 0.0]","[0.11949810794662417, 0.0]"
2,J3,"('no_change', 'J3')","[44.0, 3.0, 29.0]",2,0.0,0.0,['JM2'],[0.0],[0.0]
2,JM0,"('decrease_green', 'JM0')","[47.0, 3.0, 30.0]",-4,0.12298862355232142,0.15373577944040176,['JM1'],[0.11949810794662417],[0.1493726349332802]
2,JM1,"('decrease_red', 'JM1')","[45.0, 3.0, 39.0]",3,0.1493726349332802,0.1493726349332802,"['JM0', 'JM2']","[0.15373577944040176, 0.0]","[0.15373577944040176, 0.0]"
2,JM2,"('decrease_red', 'JM2')","[45.0, 3.0, 28.0]",3,0.0,0.0,"['JM1', 'J3']","[0.1493726349332802, 0.0]","[0.1493726349332802, 0.0]"
3,J3,"('decrease_red', 'J3')","[44.0, 3.0, 29.0]",2,0.0,0.0,['JM2'],[0.0],[0.0]
3,JM0,"('decrease_green', 'JM0')","[46.0, 3.0, 30.0]",2,0.18448293532848212,0.18448293532848212,['JM1'],[0.17924716191993625],[0.17924716191993625]
3,JM1,"('increase_green', 'JM1')","[45.0, 3.0, 38.0]",-3,0.17924716191993625,0.2091216889065923,"['JM0', 'JM2']","[0.18448293532848212, 0.037714501225721286]","[0.21523009121656247, 0.037714501225721286]"
3,JM2,"('increase_red', 'JM2')","[45.0, 3.0, 27.0]",3,0.037714501225721286,0.037714501225721286,"['JM1', 'J3']","[0.2091216889065923, 0.0]","[0.2091216889065923, 0.0]"
4,J3,"('decrease_green', 'J3')","[44.0, 3.0, 28.0]",2,0.0,0.0,['JM2'],[0.037714501225721286],[0.037714501225721286]
4,JM0,"('no_change', 'JM0')","[45.0, 3.0, 30.0]",2,0.24597724710464283,0.24597724710464283,['JM1'],[0.23899621589324835],[0.23899621589324835]
4,JM1,"('decrease_green', 'JM1')","[46.0, 3.0, 38.0]",3,0.23899621589324835,0.23899621589324835,"['JM0', 'JM2']","[0.24597724710464283, 0.037714501225721286]","[0.24597724710464283, 0.037714501225721286]"
4,JM2,"('no_change', 'JM2')","[45.0, 3.0, 28.0]",0,0.037714501225721286,0.037714501225721286,"['JM1', 'J3']","[0.23899621589324835, 0.0]","[0.26887074287990437, 0.0]"
5,J3,"('decrease_green', 'J3')","[43.0, 3.0, 28.0]",2,0.0,0.0,['JM2'],[0.037714501225721286],[0.037714501225721286]
5,JM0,"('increase_red', 'JM0')","[45.0, 3.0, 30.0]",-4,0.27672440299272316,0.3074715588808035,['JM1'],[0.26887074287990437],[0.2987452698665604]
5,JM1,"('no_change', 'JM1')","[45.0, 3.0, 38.0]",0,0.2987452698665604,0.2987452698665604,"['JM0', 'JM2']","[0.3074715588808035, 0.037714501225721286]","[0.3074715588808035, 0.07542900245144257]"
5,JM2,"('increase_green', 'JM2')","[45.0, 3.0, 28.0]",3,0.07542900245144257,0.07542900245144257,"['JM1', 'J3']","[0.2987452698665604, 0.0]","[0.2987452698665604, 0.0]"
6,J3,"('decrease_green', 'J3')","[42.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.07542900245144257],[0.07542900245144257]
6,JM0,"('decrease_red', 'JM0')","[45.0, 3.0, 31.0]",2,0.3382187147688839,0.3382187147688839,['JM1'],[0.32861979685321646],[0.32861979685321646]
6,JM1,"('increase_green', 'JM1')","[45.0, 3.0, 38.0]",-3,0.32861979685321646,0.3584943238398725,"['JM0', 'JM2']","[0.3382187147688839, 0.11314350367716387]","[0.36896587065696423, 0.11314350367716387]"
6,JM2,"('increase_green', 'JM2')","[46.0, 3.0, 28.0]",4,0.11314350367716387,0.07542900245144257,"['JM1', 'J3']","[0.3584943238398725, 0.023636936653009772]","[0.3584943238398725, 0.023636936653009772]"
7,J3,"('decrease_green', 'J3')","[41.0, 3.0, 28.0]",-1,0.023636936653009772,0.023636936653009772,['JM2'],[0.07542900245144257],[0.11314350367716387]
7,JM0,"('increase_green', 'JM0')","[45.0, 3.0, 30.0]",2,0.3997130265450446,0.3997130265450446,['JM1'],[0.3584943238398725],[0.3584943238398725]
7,JM1,"('decrease_red', 'JM1')","[46.0, 3.0, 38.0]",0,0.3584943238398725,0.3584943238398725,"['JM0', 'JM2']","[0.3997130265450446, 0.11314350367716387]","[0.3997130265450446, 0.15085800490288515]"
7,JM2,"('no_change', 'JM2')","[47.0, 3.0, 28.0]",-3,0.15085800490288515,0.18857250612860643,"['JM1', 'J3']","[0.3584943238398725, 0.023636936653009772]","[0.38836885082652856, 0.023636936653009772]"
8,J3,"('increase_green', 'J3')","[40.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.11314350367716387],[0.11314350367716387]
8,JM0,"('decrease_green', 'JM0')","[46.0, 3.0, 30.0]",-4,0.43046018243312495,0.4612073383212053,['JM1'],[0.38836885082652856],[0.4182433778131846]
8,JM1,"('no_change', 'JM1')","[46.0, 3.0, 37.0]",3,0.4182433778131846,0.4182433778131846,"['JM0', 'JM2']","[0.4612073383212053, 0.11314350367716387]","[0.4612073383212053, 0.11314350367716387]"
8,JM2,"('decrease_red', 'JM2')","[47.0, 3.0, 28.0]",4,0.11314350367716387,0.07542900245144257,"['JM1', 'J3']","[0.4182433778131846, 0.023636936653009772]","[0.4182433778131846, 0.023636936653009772]"
9,J3,"('no_change', 'J3')","[41.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.11314350367716387],[0.11314350367716387]
9,JM0,"('decrease_green', 'JM0')","[45.0, 3.0, 30.0]",3,0.49195449420928566,0.49195449420928566,['JM1'],[0.44811790479984065],[0.4182433778131846]
9,JM1,"('increase_green', 'JM1')","[46.0, 3.0, 37.0]",0,0.4182433778131846,0.4182433778131846,"['JM0', 'JM2']","[0.49195449420928566, 0.11314350367716387]","[0.49195449420928566, 0.15085800490288515]"
9,JM2,"('decrease_green', 'JM2')","[47.0, 3.0, 27.0]",4,0.15085800490288515,0.15085800490288515,"['JM1', 'J3']","[0.4182433778131846, 0.023636936653009772]","[0.38836885082652856, 0.023636936653009772]"
10,J3,"('increase_green', 'J3')","[41.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.15085800490288515],[0.15085800490288515]
10,JM0,"('no_change', 'JM0')","[44.0, 3.0, 30.0]",4,0.522701650097366,0.49195449420928566,['JM1'],[0.3584943238398725],[0.32861979685321646]
10,JM1,"('no_change', 'JM1')","[47.0, 3.0, 37.0]",0,0.32861979685321646,0.3584943238398725,"['JM0', 'JM2']","[0.49195449420928566, 0.18857250612860643]","[0.49195449420928566, 0.18857250612860643]"
10,JM2,"('decrease_green', 'JM2')","[46.0, 3.0, 27.0]",4,0.18857250612860643,0.18857250612860643,"['JM1', 'J3']","[0.3584943238398725, 0.023636936653009772]","[0.32861979685321646, 0.023636936653009772]"
11,J3,"('increase_red', 'J3')","[42.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.15085800490288515],[0.15085800490288515]
11,JM0,"('increase_green', 'JM0')","[44.0, 3.0, 30.0]",3,0.49195449420928566,0.49195449420928566,['JM1'],[0.32861979685321646],[0.2987452698665604]
11,JM1,"('increase_red', 'JM1')","[47.0, 3.0, 37.0]",0,0.2987452698665604,0.32861979685321646,"['JM0', 'JM2']","[0.49195449420928566, 0.15085800490288515]","[0.49195449420928566, 0.15085800490288515]"
11,JM2,"('no_change', 'JM2')","[45.0, 3.0, 27.0]",5,0.15085800490288515,0.15085800490288515,"['JM1', 'J3']","[0.32861979685321646, 0.023636936653009772]","[0.26887074287990437, 0.023636936653009772]"
12,J3,"('decrease_red', 'J3')","[42.0, 3.0, 29.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.18857250612860643],[0.18857250612860643]
12,JM0,"('decrease_red', 'JM0')","[45.0, 3.0, 30.0]",3,0.49195449420928566,0.4612073383212053,['JM1'],[0.26887074287990437],[0.26887074287990437]
12,JM1,"('decrease_red', 'JM1')","[47.0, 3.0, 38.0]",0,0.26887074287990437,0.26887074287990437,"['JM0', 'JM2']","[0.4612073383212053, 0.15085800490288515]","[0.49195449420928566, 0.15085800490288515]"
12,JM2,"('increase_green', 'JM2')","[45.0, 3.0, 27.0]",3,0.15085800490288515,0.15085800490288515,"['JM1', 'J3']","[0.26887074287990437, 0.023636936653009772]","[0.26887074287990437, 0.023636936653009772]"
13,J3,"('no_change', 'J3')","[42.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.15085800490288515],[0.15085800490288515]
13,JM0,"('increase_red', 'JM0')","[45.0, 3.0, 29.0]",3,0.49195449420928566,0.49195449420928566,['JM1'],[0.23899621589324835],[0.2091216889065923]
13,JM1,"('no_change', 'JM1')","[47.0, 3.0, 37.0]",4,0.2091216889065923,0.2091216889065923,"['JM0', 'JM2']","[0.49195449420928566, 0.15085800490288515]","[0.4612073383212053, 0.15085800490288515]"
13,JM2,"('increase_green', 'JM2')","[46.0, 3.0, 27.0]",3,0.15085800490288515,0.15085800490288515,"['JM1', 'J3']","[0.2091216889065923, 0.023636936653009772]","[0.2091216889065923, 0.023636936653009772]"
14,J3,"('decrease_red', 'J3')","[42.0, 3.0, 28.0]",2,0.023636936653009772,0.023636936653009772,['JM2'],[0.1610305958132045],[0.1610305958132045]
14,JM0,"('decrease_red', 'JM0')","[45.0, 3.0, 30.0]",-2,0.4612073383212053,0.49195449420928566,['JM1'],[0.17924716191993625],[0.19546702657420767]
14,JM1,"('decrease_green', 'JM1')","[47.0, 3.0, 37.0]",3,0.19546702657420767,0.19546702657420767,"['JM0', 'JM2']","[0.49195449420928566, 0.18857250612860643]","[0.49195449420928566, 0.18857250612860643]"
14,JM2,"('decrease_green', 'JM2')","[47.0, 3.0, 27.0]",3,0.18857250612860643,0.18857250612860643,"['JM1', 'J3']","[0.19546702657420767, 0.023636936653009772]","[0.17924716191993625, 0.023636936653009772]"
15,J3,"('decrease_red', 'J3')","[42.0, 3.0, 27.0]",4,0.047273873306019544,0.023636936653009772,['JM2'],[0.1610305958132045],[0.13802622498274672]
15,JM0,"('no_change', 'JM0')","[45.0, 3.0, 29.0]",2,0.522701650097366,0.522701650097366,['JM1'],[0.17924716191993625],[0.17924716191993625]
15,JM1,"('increase_red', 'JM1')","[46.0, 3.0, 37.0]",2,0.17924716191993625,0.17924716191993625,"['JM0', 'JM2']","[0.522701650097366, 0.15085800490288515]","[0.522701650097366, 0.1610305958132045]"
15,JM2,"('no_change', 'JM2')","[46.0, 3.0, 27.0]",3,0.1610305958132045,0.1610305958132045,"['JM1', 'J3']","[0.17924716191993625, 0.047273873306019544]","[0.17924716191993625, 0.047273873306019544]"
16,J3,"('increase_green', 'J3')","[42.0, 3.0, 26.0]",-1,0.047273873306019544,0.07091080995902932,['JM2'],[0.13802622498274672],[0.13802622498274672]
16,JM0,"('increase_green', 'JM0')","[45.0, 3.0, 29.0]",6,0.6395073424917102,0.5534488059854463,['JM1'],[0.19546702657420767],[0.19546702657420767]
16,JM1,"('increase_green', 'JM1')","[46.0, 3.0, 38.0]",2,0.19546702657420767,0.2091216889065923,"['JM0', 'JM2']","[0.5534488059854463, 0.13802622498274672]","[0.5534488059854463, 0.13802622498274672]"
16,JM2,"('decrease_green', 'JM2')","[46.0, 3.0, 27.0]",3,0.13802622498274672,0.13802622498274672,"['JM1', 'J3']","[0.2091216889065923, 0.07091080995902932]","[0.19546702657420767, 0.07091080995902932]"
